Date,Open,High,Low,Close,Adj Close,Volume
2014-12-02,26.972500,27.134501,26.350000,26.536501,26.536501,232522000
2014-12-09,26.294001,26.968000,25.770000,25.792000,25.792000,230636000
2014-12-16,25.680000,26.648500,24.859501,26.615000,26.615000,401152000
2014-12-23,26.725500,27.196501,26.686001,26.865499,26.865499,138868000
2014-12-30,26.747999,26.920000,25.887501,25.973000,25.973000,113282000
2015-01-06,26.025000,26.060499,24.545500,24.853001,24.853001,273566000
2015-01-13,25.128500,25.542500,24.863001,25.523001,25.523001,214484000
2015-01-20,25.638500,27.270500,25.468500,26.836000,26.836000,226118000
2015-01-27,26.570000,27.155001,25.174000,26.610001,26.610001,350474000
2015-02-03,26.497000,27.011000,26.251499,26.464001,26.464001,187386000
2015-02-10,26.607500,27.627001,26.458500,27.558001,27.558001,181708000
2015-02-17,27.558001,27.650000,26.600000,26.750000,26.750000,172312000
2015-02-24,26.577499,28.799500,26.549999,28.750999,28.750999,242008000
2015-03-03,28.817499,29.160000,28.452499,28.705000,28.705000,185478000
2015-03-10,28.424000,28.488001,27.516500,28.082001,28.082001,188490000
2015-03-17,27.914499,28.482000,27.674999,28.268499,28.268499,163430000
2015-03-24,28.427000,29.094000,27.839500,28.056999,28.056999,241408000
2015-03-31,27.896999,28.122499,26.785000,27.197500,27.197500,155312000
2015-04-07,27.249500,27.663500,27.097500,27.431999,27.431999,143500000
2015-04-14,27.328501,27.328501,26.450001,27.226500,27.226500,213632000
2015-04-21,27.315500,29.235001,27.066000,28.306000,28.306000,279348000
2015-04-28,28.216000,28.391500,27.192499,27.642000,27.642000,189872000
2015-05-05,27.507999,27.668501,26.612000,27.289000,27.289000,149490000
2015-05-12,27.140499,27.530001,26.750000,27.333500,27.333500,151402000
2015-05-19,27.400000,27.912001,27.254999,27.726000,27.726000,136402000
2015-05-26,27.629000,27.788000,27.148500,27.460501,27.460501,172518000
2015-06-02,27.371500,27.939501,27.147499,27.174000,27.174000,137150000
2015-06-09,27.171000,27.741501,26.942499,27.150000,27.150000,138822000
2015-06-16,27.224001,28.280500,27.078501,27.983999,27.983999,192200000
